lgd_state_code,lgd_district_code,lgd_state_name,lgd_district_name,soi_objectid,soi_state_lgd,soi_dist_lgd,soi_state_name,soi_district_name,match_method,confidence,verification_status
32,554,Kerala,Alappuzha,102,32,598,KERALA,Alappuzha,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,121,Uttar Pradesh,Ambedkar Nagar,271,09,178,UTTAR PRADESH,AMBEDKAR NAGAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
3,27,Punjab,Amritsar,266,03,049,PUNJAB,AMRITSAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,672,Gujarat,Arvalli,194,24,650,GUJARAT,ARVALLI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
10,611,Bihar,Arwal,771,10,240,BIHAR,Arwal,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
10,189,Bihar,Aurangabad,772,10,235,BIHAR,Aurangabad,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,125,Uttar Pradesh,Bahraich,278,09,180,UTTAR PRADESH,BAHRAICH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,646,Chhattisgarh,Balod,129,22,645,CHHATTISGARH,BALOD,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,127,Uttar Pradesh,Balrampur,280,09,182,UTTAR PRADESH,BALRAMPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,470,Maharashtra,Beed,536,27,523,MAHARASHTRA,BEED,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,650,Chhattisgarh,Bemetara,133,22,644,CHHATTISGARH,BEMETARA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,179,Uttar Pradesh,Bhadohi,284,09,198,UTTAR PRADESH,BHADOHI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,471,Maharashtra,Bhandara,537,27,506,MAHARASHTRA,BHANDARA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,395,Madhya Pradesh,Bhind,578,23,420,MADHYA PRADESH,BHIND,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,636,Chhattisgarh,Bijapur,121,22,417,CHHATTISGARH,BIJAPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,676,Gujarat,Botad,198,24,653,GUJARAT,BOTAD,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
5,47,Uttarakhand,Chamoli,636,05,057,UTTARAKHAND,CHAMOLI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
